fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634373400179A75B6D3FBAE2B47FA3/17634373400179A75B6D3FBAE2B47FA3_img_330?hash=631580f41a0ff3912f3fbffc04e0cbb7,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020950,"[은준a] 대용량 백팩 해외여행 캠핑 기내용 가방 대형 배낭 80L
도매꾹판매가 27,500원 (1개 이상 구매) 바로가기","27,500원",27500,62020950,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343172404B63FD211C822AA008E7F/176343172404B63FD211C822AA008E7F_img_330?hash=7ad88811f8d80caaeed38fac4c8045ff,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019533,"(Netmate) 13-27형 클램프형 노트북 모니터 듀얼 거치대
도매꾹판매가 63,200원 (1개 이상 구매) 바로가기","63,200원",63200,62019533,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343166199CDEDF96D73C8E9E0D97E/176343166199CDEDF96D73C8E9E0D97E_img_330?hash=d0a1eb00e1970159ce389d6160b11153,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019503,"대용량 백팩 여행 캐리어 캠핑 백패킹 배낭 출장 노트북 출장 대형 가방
도매꾹판매가 32,200원 (1개 이상 구매) 바로가기","32,200원",32200,62019503,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176342866016A72F01ACA94E403FA96F/176342866016A72F01ACA94E403FA96F_img_330?hash=11342a3abaaac8ebb76befb09a66445d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018331,"대용량 백팩 80L 캠핑 등산 차박 백패킹 여행 출장 캐리어 노트북 기내용 배낭 가방
도매꾹판매가 22,410원 (2개 이상 구매) 바로가기","24,650원",24650,62018331,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763428383AED4EB8546B68449940BCE/1763428383AED4EB8546B68449940BCE_img_330?hash=5ac85761df064e5dbeeecafc62e032c5,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018185,"캐주얼 트랜드 멀티 백팩 ELG139 백팩 백팩 남자 책 남성 캐주얼 노트북 패션잡화 늘푸른백화점 책 서류 여
도매꾹판매가 29,600원 (1개 이상 구매) 바로가기","29,600원",29600,62018185,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763428365A597510AE09A0738D32BC0/1763428365A597510AE09A0738D32BC0_img_330?hash=dc4157d08c5510b92cebb8a785b354cc,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018169,"캐주얼 패션 올 포켓 백팩 URK281 여행 패션잡화 남성용 책 대용량 백팩 w 캐주얼 백팩겸용 남성백팩 y.s.l
도매꾹판매가 41,300원 (1개 이상 구매) 바로가기","41,300원",41300,62018169,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427903ED98BC0A1B3EC5D033AE07/1763427903ED98BC0A1B3EC5D033AE07_img_330?hash=e49dfac7c77bf5caeb01727ea0d116b8,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017703,"탈부착 가능 네임택 비즈니스 백팩 안전 보관
도매꾹판매가 67,300원 (1개 이상 구매) 바로가기","67,300원",67300,62017703,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634277277C08C6AD0075A99B95F07F/17634277277C08C6AD0075A99B95F07F_img_330?hash=b5c21a81b1801de781a0d37829f30d01,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017541,"신광 레인보우16칼라 LCD매직노트 전자칠판 메모패드 요술칠판-마술칠판 에디슨노트
도매꾹판매가 13,200원 (1개 이상 구매) 바로가기","13,200원",13200,62017541,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427674F07D66C0C027FB3D037FE9/1763427674F07D66C0C027FB3D037FE9_img_330?hash=a57dbfec19d5922e3373b964133f4df5,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017490,양지다이어리 2026년 유즈어리 노트,"19,000원",19000,62017490,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634276596488C479DFAB4B6E3396A5/17634276596488C479DFAB4B6E3396A5_img_330?hash=bd012b62298d511f3178e666f034a492,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017477,양지다이어리 2026년 유즈어리 노트 필기구 일정관리,"20,000원",20000,62017477,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427553E579C1DB1C226F9D2A6340/1763427553E579C1DB1C226F9D2A6340_img_330?hash=988bddcfab9d69b5a001e37ca6f9ba5e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017370,양지다이어리 2026년 엘리트25B 1면2일 노트 기록,"20,900원",20900,62017370,,domeggook
