fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634373400179A75B6D3FBAE2B47FA3/17634373400179A75B6D3FBAE2B47FA3_img_330?hash=631580f41a0ff3912f3fbffc04e0cbb7,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020950,"[은준a] 대용량 백팩 해외여행 캠핑 기내용 가방 대형 배낭 80L
도매꾹판매가 27,500원 (1개 이상 구매) 바로가기","27,500원",27500,62020950,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343172404B63FD211C822AA008E7F/176343172404B63FD211C822AA008E7F_img_330?hash=7ad88811f8d80caaeed38fac4c8045ff,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019533,"(Netmate) 13-27형 클램프형 노트북 모니터 듀얼 거치대
도매꾹판매가 63,200원 (1개 이상 구매) 바로가기","63,200원",63200,62019533,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343166199CDEDF96D73C8E9E0D97E/176343166199CDEDF96D73C8E9E0D97E_img_330?hash=d0a1eb00e1970159ce389d6160b11153,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019503,"대용량 백팩 여행 캐리어 캠핑 백패킹 배낭 출장 노트북 출장 대형 가방
도매꾹판매가 32,200원 (1개 이상 구매) 바로가기","32,200원",32200,62019503,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176342866016A72F01ACA94E403FA96F/176342866016A72F01ACA94E403FA96F_img_330?hash=11342a3abaaac8ebb76befb09a66445d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018331,"대용량 백팩 80L 캠핑 등산 차박 백패킹 여행 출장 캐리어 노트북 기내용 배낭 가방
도매꾹판매가 22,410원 (2개 이상 구매) 바로가기","24,650원",24650,62018331,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763428383AED4EB8546B68449940BCE/1763428383AED4EB8546B68449940BCE_img_330?hash=5ac85761df064e5dbeeecafc62e032c5,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018185,"캐주얼 트랜드 멀티 백팩 ELG139 백팩 백팩 남자 책 남성 캐주얼 노트북 패션잡화 늘푸른백화점 책 서류 여
도매꾹판매가 29,600원 (1개 이상 구매) 바로가기","29,600원",29600,62018185,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763428365A597510AE09A0738D32BC0/1763428365A597510AE09A0738D32BC0_img_330?hash=dc4157d08c5510b92cebb8a785b354cc,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018169,"캐주얼 패션 올 포켓 백팩 URK281 여행 패션잡화 남성용 책 대용량 백팩 w 캐주얼 백팩겸용 남성백팩 y.s.l
도매꾹판매가 41,300원 (1개 이상 구매) 바로가기","41,300원",41300,62018169,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427903ED98BC0A1B3EC5D033AE07/1763427903ED98BC0A1B3EC5D033AE07_img_330?hash=e49dfac7c77bf5caeb01727ea0d116b8,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017703,"탈부착 가능 네임택 비즈니스 백팩 안전 보관
도매꾹판매가 67,300원 (1개 이상 구매) 바로가기","67,300원",67300,62017703,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427145109518E9F6BFD607AE080F/1763427145109518E9F6BFD607AE080F_img_330?hash=5315067a6865d0f501da4c4d0d30ba2a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62016935,"휴대용 노트북 햇빛가리 파우치 출장 가방형 접이식 보호커버
도매꾹판매가 19,250원 (1개 이상 구매) 바로가기","19,250원",19250,62016935,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634270298BB3BBB79BCC66DC53E5E4/17634270298BB3BBB79BCC66DC53E5E4_img_330?hash=0d7667a7be1848f281d4905cd747dbc5,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62016809,"노트북 받침대 스탠드 아이패드 태블릿 거치대 트레이 CNS
도매꾹판매가 15,750원 (1개 이상 구매) 바로가기","15,750원",15750,62016809,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763426058E8F0BD30E8E48B4723CCF7/1763426058E8F0BD30E8E48B4723CCF7_img_330?hash=d4aa32b14e2cbd21316f8716e102dc89,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62016233,"모니터 받침대 거치대 스탠드 소품수납 정리대
도매꾹판매가 18,500원 (1개 이상 구매) 바로가기","18,500원",18500,62016233,,domeggook
