fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634434528B8DF563E94F3D29399559/17634434528B8DF563E94F3D29399559_img_330?hash=57a5cb9ac7769d4e864b979755b3ef21,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62023215,"침낭 여행용 담요 침낭라이너 캠핑 여름 차박 플리스 슬리핑백 여행용이불 캠핑이불 면침낭 차박침냥
도매꾹판매가 12,300원 (1개 이상 구매) 바로가기","12,300원",12300,62023215,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634345906086FE0A24DCF6E010E231/17634345906086FE0A24DCF6E010E231_img_330?hash=f2611bd615efcd8032cff2501b1dcd81,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020725,"무릎담 ins풍 에어컨 담요 학생 기숙사 코럴 케이프 담요 사무실 낮잠 에어컨 담요 점심
도매꾹판매가 5,470원 (10개 이상 구매) 바로가기","15,470원",15470,62020725,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634345896FBE4BB3392E618D95C6AB/17634345896FBE4BB3392E618D95C6AB_img_330?hash=4f6805c2488df40ef01938aea1f684aa,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020724,"무릎담 캐릭터 고양이 신상 담요 여름 사무실 낮잠 에어컨 담요 점심 휴식 신기 코랄 숄 담
도매꾹판매가 5,470원 (10개 이상 구매) 바로가기","15,470원",15470,62020724,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763434588B2EDA0A785A5E1AE9B199A/1763434588B2EDA0A785A5E1AE9B199A_img_330?hash=9f498d9a0329011127590d2dcba11170,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020723,"무릎담 낮잠 담요 사무실 무릎 담요 낮잠 소파 담요 따뜻한 에어컨 담요 몬스터 플란넬 담요
도매꾹판매가 4,970원 (10개 이상 구매) 바로가기","14,970원",14970,62020723,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763434586396695A33EA720497E088E/1763434586396695A33EA720497E088E_img_330?hash=f89a596d00ba47421de4c0e63ce1ff68,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020720,"무릎담 현물 플란넬 담요 한국 따뜻한 무릎 담요 일한 단색 폴리에스터 담요 코랄 캐시미어
도매꾹판매가 3,040원 (10개 이상 구매) 바로가기","13,040원",13040,62020720,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343458605F3941A7E11AF7BF14207/176343458605F3941A7E11AF7BF14207_img_330?hash=1ed64e9553ba9e04399200dcd6923b66,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020719,"무릎담 라셰르 홑겹 담요 무릎담요 고양이와 개 애견담요 규격 50*70
도매꾹판매가 2,790원 (10개 이상 구매) 바로가기","12,790원",12790,62020719,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763434585A0F7C2990A26E96D797E85/1763434585A0F7C2990A26E96D797E85_img_330?hash=1ed64e9553ba9e04399200dcd6923b66,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020717,"무릎담 색상 랜덤 플란넬 담요 코랄 융 담요 무릎 담요 애완용 담요 부드럽고 가벼운 방한
도매꾹판매가 2,940원 (10개 이상 구매) 바로가기","12,940원",12940,62020717,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763431575C97D16E05DAA41D2C89DD2/1763431575C97D16E05DAA41D2C89DD2_img_330?hash=4b3c78f198d80d00956cc7299834fcbc,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019471,"곰돌이 망토 담요 후드 블랭킷 보온담요
도매꾹판매가 16,800원 (2개 이상 구매) 바로가기","18,480원",18480,62019471,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763430797C4A37626EC6A7325C7038C/1763430797C4A37626EC6A7325C7038C_img_330?hash=f96de408bf47f36fc7aa773c65325ceb,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019165,"극세사 밍크 양털 담요 쇼파 거실 블랭킷 겨울 이불
도매꾹판매가 15,800원 (1개 이상 구매) 바로가기","15,800원",15800,62019165,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634274450CD0F9109F5BED6A9523C8/17634274450CD0F9109F5BED6A9523C8_img_330?hash=db825234640e927f06069b37f9084ab4,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017247,"거실 담요 극세사 캠핑 블랭킷 부드러운 캠핑 담요 거실 이불
도매꾹판매가 22,380원 (1개 이상 구매) 바로가기","22,380원",22380,62017247,,domeggook
