fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634276545623C1ABA067A58B0CC6ED/17634276545623C1ABA067A58B0CC6ED_img_330?hash=02e3a45d0d1999a9aec1733c44024c55,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017474,"은하수50구 녹색선 LED 백색 지니전구 5M 전원잭
도매꾹판매가 17,900원 (1개 이상 구매) 바로가기","17,900원",17900,62017474,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634250038C360DE95B61F92B093BB8/17634250038C360DE95B61F92B093BB8_img_330?hash=b47590fbcd9415bee8239dfff337d200,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015298,"LW 패브릭 에어 발쿠션 다리 릴렉스 쿠션 자동차 사무실 다리받침
도매꾹판매가 16,310원 (1개 이상 구매) 바로가기","16,310원",16310,62015298,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/176337805308DF55E5FDEB388518F6E0/176337805308DF55E5FDEB388518F6E0_img_330?hash=2176d8e06ed92a57a56ed74afa38096d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012449,"1인 리클 라이너 흔들 소파 좌식의자 릴렉스 체어 흔들의자 리클라이너의자 좌식리
도매꾹판매가 112,400원 (1개 이상 구매) 바로가기","112,400원",112400,62012449,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763377932134F73E6800953C772F5D3/1763377932134F73E6800953C772F5D3_img_330?hash=ddd4e7e6ca05ef10b1759ff40656b6be,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012400,"캠핑 접이식 휴대용 릴렉스 체어 의자 (형) 캠핑의자 용품 경량 좌식의자
도매꾹판매가 28,000원 (1개 이상 구매) 바로가기","28,000원",28000,62012400,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763374804EDDCDCAA2AE048CDD0BBB2/1763374804EDDCDCAA2AE048CDD0BBB2_img_330?hash=6a68be224054b7cf5f9802265746dc51,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62011367,"먼작귀 치이카와 파우치 동전 카드 지갑 릴홀더 릴패스 정품 우사기 가르마 하치와레 카라비너 캐릭터 굿즈
도매꾹판매가 14,950원 (3개 이상 구매) 바로가기","14,950원",14950,62011367,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763354727565E375A1C0A48F7E42418/1763354727565E375A1C0A48F7E42418_img_330?hash=040a519dcf074996cc7ba2c902489145,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62005206,"240구 녹색선 웜색 전구 14.4m 전원잭 포함
도매꾹판매가 16,500원 (1개 이상 구매) 바로가기","16,500원",16500,62005206,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763354698E983CA6F5D05FB0D1C303C/1763354698E983CA6F5D05FB0D1C303C_img_330?hash=047486c1c5b4ee04173cfbde38fad117,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62005187,"100구 녹색선 LED 백색 지니 전구 10m 연결형 트리 전구
도매꾹판매가 12,330원 (1개 이상 구매) 바로가기","12,330원",12330,62005187,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/176335468663744A31CCFBCCBB72AB08/176335468663744A31CCFBCCBB72AB08_img_330?hash=9ef95f5fcb98605bdd096540ae86ba25,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62005179,"100구 녹색선 LED 남색 지니 전구 10m 연결형 트리 전구
도매꾹판매가 12,440원 (1개 이상 구매) 바로가기","12,440원",12440,62005179,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763354481C776AB93AF6495FC0D8DD2/1763354481C776AB93AF6495FC0D8DD2_img_330?hash=56b1180fabeed5169df183ed84c974b2,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62005102,"100구 컬러 LED 지니 전구 10m 연결형 트리 전구
도매꾹판매가 12,930원 (1개 이상 구매) 바로가기","12,930원",12930,62005102,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763354474A3B63A9185ECD36FF0CE17/1763354474A3B63A9185ECD36FF0CE17_img_330?hash=c9e7436234a23bd0f240ce0c82b7a358,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62005100,"100구 녹색선 LED 컬러 지니 전구 10m 연결형 트리 전구
도매꾹판매가 12,330원 (1개 이상 구매) 바로가기","12,330원",12330,62005100,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633544671E1C483625C7500393C112/17633544671E1C483625C7500393C112_img_330?hash=31566e38fdf860ea0c71bdd2f4320d39,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62005097,"100구 녹색선 LED 웜색 지니 전구 10m 연결형 트리 전구
도매꾹판매가 12,330원 (1개 이상 구매) 바로가기","12,330원",12330,62005097,,domeggook
