fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634336147B49D6FFEC2CF07B980F4F/17634336147B49D6FFEC2CF07B980F4F_img_330?hash=af8e535f44374b3478e9d6b5c405b74e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020077,"TG삼보 TG-CW2000A 차량용 와이드 15W 고속 무선 충전 거치대
도매꾹판매가 14,000원 (1개 이상 구매) 바로가기","12,900원",12900,62020077,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343068579E0002517112CCCB79332/176343068579E0002517112CCCB79332_img_330?hash=c4764fa98da6300e56beae5e38e1980c,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019100,"TG삼보 TG-CW1000A 차량용 15W 고속 무선충전거치대
도매꾹판매가 15,100원 (1개 이상 구매) 바로가기","16,900원",16900,62019100,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/15/17632087435A1BEFB72DA0D2661678FE/17632087435A1BEFB72DA0D2661678FE_img_330?hash=d0ee216520f9d927ec06736961dd8151,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61989793,"스마트폰차량거치기 차량무선충전기거치대 무선충전거치대 ST
도매꾹판매가 48,400원 (1개 이상 구매) 바로가기","48,400원",48400,61989793,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/15/1763167647859BE6F2379564D1C48727/1763167647859BE6F2379564D1C48727_img_330?hash=566c6da5e2d0c2c15f9f8016a340b35e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61984239,"알파문구 유삼스 충전케이블 3-in-16A 고속충전 (1.2M)
도매꾹판매가 23,200원 (2개 이상 구매) 바로가기","23,200원",23200,61984239,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/1763072297C6C0B9FF6531BF79FE88B3/1763072297C6C0B9FF6531BF79FE88B3_img_330?hash=315d3de1fb6daa4f9847825795a4220a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61953073,"차량용 무선충전기 거치대 갤럭시 폴드7 고속충전거치대
도매꾹판매가 44,900원 (10개 이상 구매) 바로가기","45,350원",45350,61953073,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/1762845773C06D8E850DCB46B38C92F9/1762845773C06D8E850DCB46B38C92F9_img_330?hash=a3217871d8b2a2481af54c550bd5d4ba,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61902118,"차량용 자동차 시거잭 충전기 무선 고속 충전 거치대
도매꾹판매가 47,200원 (1개 이상 구매) 바로가기","47,200원",47200,61902118,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/17628455765DE2AECC15E2E2A4EA0A06/17628455765DE2AECC15E2E2A4EA0A06_img_330?hash=b7db5cd1a8fce3e666482442ce6bcdce,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61902014,"시크론 MSQ610Q 보조배터리 블랙 맥세이프
도매꾹판매가 39,600원 (1개 이상 구매) 바로가기","39,600원",39600,61902014,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/17628455225A6DAB438FFC371442B0D2/17628455225A6DAB438FFC371442B0D2_img_330?hash=af7188c54799b4c82e62c9698725580f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61901980,"BPB105BK 10000mAh 무선 벡셀고속충전보조배터리 1EA
도매꾹판매가 37,400원 (1개 이상 구매) 바로가기","37,400원",37400,61901980,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/176283122850697A76AF39461A63BBC1/176283122850697A76AF39461A63BBC1_img_330?hash=845371fdff53134a611f3c80a8b50322,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61895507,"EA MS01맥세이프 무선충전기 플렉서블 슬라이드 탁상용 거치대 홀더
도매꾹판매가 17,600원 (1개 이상 구매) 바로가기","17,600원",17600,61895507,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/10/176277513528F6143436A2D3CDF6DF15/176277513528F6143436A2D3CDF6DF15_img_330?hash=05ea6678a262cc8a6f8b843d4ff7a68d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61882825,"EA V-12 맥세이프 호환 무선충전기 마그네틱 무선충전패드
도매꾹판매가 19,500원 (1개 이상 구매) 바로가기","19,500원",19500,61882825,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/10/17627749422FA29B583D9F3776C0826C/17627749422FA29B583D9F3776C0826C_img_330?hash=f99233cb390492cbf9daa786f9c2a059,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61882796,"EA X12MagSafe 맥세이프 무선충전기 전용 접이식 탁상용 거치대
도매꾹판매가 20,000원 (1개 이상 구매) 바로가기","20,000원",20000,61882796,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/09/1762687671919C23DC20380A438565C7/1762687671919C23DC20380A438565C7_img_330?hash=fee1b642a4df95bc5d9d0cd27d757e6a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61859605,"EA 스위스맥로이드 맥세이프 호환 고속 무선충전기 마그네틱 무선충전패드 iPhone MagSafe
도매꾹판매가 23,000원 (1개 이상 구매) 바로가기","23,000원",23000,61859605,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/09/1762687663EFDED843FBC99D34B07719/1762687663EFDED843FBC99D34B07719_img_330?hash=c802d0bb3624771a84f0d9f0311e3070,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61859604,"EA K-701 버블링맥세이프 탁상용 거치대 홀더 Magsafe
도매꾹판매가 14,000원 (1개 이상 구매) 바로가기","14,000원",14000,61859604,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/09/17626876556D4DCDE470C928C7FACAB1/17626876556D4DCDE470C928C7FACAB1_img_330?hash=c12aef363f675abb04449d8cf9c4142f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61859603,"EA SJ11 멀티앵글맥세이프 메탈릭 접이식 거치대 탁상용 휴대용 홀더 Magsafe
도매꾹판매가 19,400원 (1개 이상 구매) 바로가기","19,400원",19400,61859603,,domeggook
