fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763434342C13471B60BCC1800793282/1763434342C13471B60BCC1800793282_img_330?hash=eee2b4ce54206f9857bdd4101ba40d80,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020466,"핑거홀장갑 여성 추동 귀요미 핫 장갑 니트 니트 스웨터 아웃도어 라이딩 바람막이 다섯손가락
도매꾹판매가 2,790원 (10개 이상 구매) 바로가기","12,790원",12790,62020466,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343433772B2114AE5E5FC22584E3C/176343433772B2114AE5E5FC22584E3C_img_330?hash=d1d45bfb6328195b19e2c0f9409b73f2,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020454,"핑거홀장갑 겨울 여장갑 스마트터치 핫픽스 니트 롱 바람막이 다섯 손가락 라이딩 스타일링 커
도매꾹판매가 4,310원 (10개 이상 구매) 바로가기","14,310원",14310,62020454,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763434329414FB3330B7D9AA14E9C09/1763434329414FB3330B7D9AA14E9C09_img_330?hash=c9d2613ad516d6918c9c3a94de404808,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020441,"핑거홀장갑 겨울 글러브 여성 아웃도어 라이딩 키높이 기모 바람막이 손가락 뒤집기 따뜻한 장
도매꾹판매가 5,420원 (10개 이상 구매) 바로가기","15,420원",15420,62020441,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343432771150BC23D69563DDF5CE5/176343432771150BC23D69563DDF5CE5_img_330?hash=c3c2531de1e1fbcd7ccfe7fa02c673f6,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020436,"핑거홀장갑 겨울 캐릭터 강아지 스키 장갑 터치 기모 라이딩 바람막이 방한 여성 귀여운 벙어
도매꾹판매가 6,460원 (10개 이상 구매) 바로가기","16,460원",16460,62020436,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634343266FD96E53C258BC9A815081/17634343266FD96E53C258BC9A815081_img_330?hash=75fd4555118cbf932b0ed763f40ef7ce,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020434,"핑거홀장갑 겨울 여성용 방한장갑 스마트터치 오픈터치 따뜻한 솔리드 니트 롱 바람막이 라이딩
도매꾹판매가 4,920원 (10개 이상 구매) 바로가기","14,920원",14920,62020434,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763434324B62146800A44B2F55B546A/1763434324B62146800A44B2F55B546A_img_330?hash=bacf744d0885f1e42db176934ee6b6fc,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020432,"핑거홀장갑 귀여운 곰돌이 여성 가을 겨울 장갑 스키 전판 터치 기모 도톰 바람막이 방수 라
도매꾹판매가 5,470원 (10개 이상 구매) 바로가기","15,470원",15470,62020432,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634343056EC1CB64B46555511DA8C7/17634343056EC1CB64B46555511DA8C7_img_330?hash=8342c996d637def8292e0e3060c9453c,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020398,"핑거홀장갑 가을 겨울 남녀 라이딩 바람막이 장갑 기모 도톰 방한 가죽 장갑 스마트터치 모터
도매꾹판매가 3,290원 (10개 이상 구매) 바로가기","13,290원",13290,62020398,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763429891EE3FAD88D3D1F18BC0F6E1/1763429891EE3FAD88D3D1F18BC0F6E1_img_330?hash=309d9ed74ce808abebedc3831a9d775a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018751,"바스락 바람막이 점퍼 남녀공용 라이트자켓
도매꾹판매가 25,000원 (2개 이상 구매) 바로가기","27,500원",27500,62018751,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427918055BCCA3EC3C4DE6CC2EF3/1763427918055BCCA3EC3C4DE6CC2EF3_img_330?hash=e6f9640b04920712d23e74245659d46b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017717,"가볍고 시원한 린넨 소재 가디건 바람막이 여성
도매꾹판매가 22,200원 (1개 이상 구매) 바로가기","22,200원",22200,62017717,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427599584ABFF0F75F715352015C/1763427599584ABFF0F75F715352015C_img_330?hash=345f15334c1d6d8fbf77a8b505ec0f52,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017422,"KSS 1013 남자 택티컬자켓 전투 밀리터리룩 전술자켓 후드 바람막이 점퍼-후리스안감
도매꾹판매가 38,900원 (1개 이상 구매) 바로가기","38,900원",38900,62017422,,domeggook
