fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763443411206FFCD9AA2BB617307AE0/1763443411206FFCD9AA2BB617307AE0_img_330?hash=96acbe66264aab75d398895248c86089,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62023127,"앵클 베이직 장화 레인부츠 SD 파스텔 250634 플래잉 여름 숏 장마 레인 부츠
도매꾹판매가 19,200원 (1개 이상 구매) 바로가기","19,200원",19200,62023127,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176343673172E9DE51F8BCB3E25DE5CC/176343673172E9DE51F8BCB3E25DE5CC_img_330?hash=0600acde712d690bfd02a45823ebdb9d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020868,"면화 여고방 부츠 겨울 스노우부츠 기모 두꺼운 부츠 자녀 패션 스노우부츠 방한 보온 면화 공장 도매
도매꾹판매가 14,820원 (2개 이상 구매) 바로가기","16,310원",16310,62020868,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763429429F5225332E01CB9AAC6AD19/1763429429F5225332E01CB9AAC6AD19_img_330?hash=b355040f7868413066e56d7eebdd19bb,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018521,"슬림핏 앵클 모던 여성 3컬러 스퀘어토 부츠 W7089
도매꾹판매가 14,500원 (2개 이상 구매) 바로가기","14,600원",14600,62018521,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634291657715FCABC943411D7A13C2/17634291657715FCABC943411D7A13C2_img_330?hash=b67713fd9dfb73beb452437438d974d4,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018467,"슬림핏 앵클 모던 여성 3컬러 스퀘어토 부츠 W7089
도매꾹판매가 14,500원 (2개 이상 구매) 바로가기","14,600원",14600,62018467,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763429017805AC667BC272464D5FB33/1763429017805AC667BC272464D5FB33_img_330?hash=80688c60da75eecc272338eeb9961f64,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018420,"여성 3컬러 모던 스퀘어토 슬림핏 앵클 부츠 W7089
도매꾹판매가 14,500원 (2개 이상 구매) 바로가기","14,600원",14600,62018420,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427643CC8D2B2411FF0A4012028A/1763427643CC8D2B2411FF0A4012028A_img_330?hash=6a4170d1fdcf4999a10f4e824a420c13,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017464,"남성 방한화 데일리 겨울 털안감 패딩 부츠 슬립온 TTM661
도매꾹판매가 16,000원 (1개 이상 구매) 바로가기","16,000원",16000,62017464,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634276215F7C5C082E30FF1C347783/17634276215F7C5C082E30FF1C347783_img_330?hash=3c2df50eca151db46a32d82512cca1eb,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017443,"남성 캐주얼 겨울 방한화 털안감 지퍼 부츠
도매꾹판매가 17,600원 (1개 이상 구매) 바로가기","17,600원",17600,62017443,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763425081B9F79EDFE3181B659725AF/1763425081B9F79EDFE3181B659725AF_img_330?hash=5b3527996bd8bd4e628916819b58d622,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015449,"여성 꽃 가죽 통굽슬리퍼 98359
도매꾹판매가 36,590원 (1개 이상 구매) 바로가기","36,590원",36590,62015449,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634250827C66960D0A5B2B09DBD394/17634250827C66960D0A5B2B09DBD394_img_330?hash=5b3527996bd8bd4e628916819b58d622,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015450,"여성 뽀삐코줄 M 앵클 9cm굽 99044
도매꾹판매가 69,600원 (1개 이상 구매) 바로가기","69,600원",69600,62015450,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763425306E0E68CBF0B0AF9993A4197/1763425306E0E68CBF0B0AF9993A4197_img_330?hash=f8277dbab4d43c11696fd1132efd3e40,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015869,"남성 패딩 방한화 털운동화 102274
도매꾹판매가 24,760원 (1개 이상 구매) 바로가기","24,760원",24760,62015869,,domeggook
