fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763437130AF3A6DEC9D3F1676BC4F7A/1763437130AF3A6DEC9D3F1676BC4F7A_img_330?hash=af17c64c1f7d614924bb0ac4d50ee4ae,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020886,"편한 슬랙스 남자 코디 팬츠 조거 밴딩 바지 대학생
도매꾹판매가 20,100원 (1개 이상 구매) 바로가기","20,100원",20100,62020886,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634318471802E3423F48A9A2A8C74F/17634318471802E3423F48A9A2A8C74F_img_330?hash=fbb7b7f994275c541fcf2d38d9eed0a6,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019581,"남성 소가죽 캐주얼 슬랙스 정장구두 편리한 신발 슈즈
도매꾹판매가 44,800원 (1개 이상 구매) 바로가기","44,800원",44800,62019581,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634253037906D8714114785A74F0B5/17634253037906D8714114785A74F0B5_img_330?hash=db918443eec6cdd8805efef1656f7412,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015864,"기모 밴딩 팬츠 방한 겨울 츄리닝 트레이닝 벨벳 바지
도매꾹판매가 13,760원 (1개 이상 구매) 바로가기","13,760원",13760,62015864,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634252392BE6D8FCEAC5AA3DDA77E1/17634252392BE6D8FCEAC5AA3DDA77E1_img_330?hash=a5083ce27b7edde65b154e1b204daa45,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015745,"롤업 카브라 스트라이프 남자슬랙스
도매꾹판매가 15,000원 (1개 이상 구매) 바로가기","15,000원",15000,62015745,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176339715137B0A26967341B2E93132F/176339715137B0A26967341B2E93132F_img_330?hash=7cc618d9c681fd57098af4e29c7bf786,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014413,여성 여자 겨울 방한 코듀로이 기모 와이드팬츠 일자 슬랙스 밴딩 바지 팬츠,"28,300원",28300,62014413,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176339695245A5BE868B6AF5600A561C/176339695245A5BE868B6AF5600A561C_img_330?hash=1cd78ee5eed22e861eefbaa6c531737b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014383,여자 통기모 와이드 하이웨스트 슬랙스 사무실,"60,100원",60100,62014383,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17633969258CA30624BB2D5880198323/17633969258CA30624BB2D5880198323_img_330?hash=8309c11787f36058d1506d9824dafe68,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014379,여성 여자 겨울 기모 슬림 팬츠 슬랙스 쫄 바지,"30,300원",30300,62014379,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17633967731B53475D8B173E2F9F3F15/17633967731B53475D8B173E2F9F3F15_img_330?hash=25f226909d589654a1c04b85fc507bb1,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014354,남자 겨울 캐주얼 기모 슬림 슬랙스 밴딩 바지,"83,100원",83100,62014354,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763396693BAB069D8FA2F4B6F4BCA15/1763396693BAB069D8FA2F4B6F4BCA15_img_330?hash=b3c57aadf4d355b3ef6530f355586691,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014338,남자슬랙스 겨울 남성 기모 와이드 슬랙스 팬츠 밴딩 바지,"30,400원",30400,62014338,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176339662106DAD8FA4A023E6BC93D75/176339662106DAD8FA4A023E6BC93D75_img_330?hash=e22d7dfbcdbe1b419925db17b6335583,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014325,여자 여성 겨울 오피스룩 기모 와이드 슬랙스 팬츠 정장 바지,"69,300원",69300,62014325,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/176338031794F572A93196D64E9AABB0/176338031794F572A93196D64E9AABB0_img_330?hash=97e29546be8577bf4800509a27587261,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012822,"방한바지 슬랙스 방한 코듀로이팬츠 기모바지 일자 기모 밴딩 골덴바지
도매꾹판매가 14,800원 (1개 이상 구매) 바로가기","14,800원",14800,62012822,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633793361223CEFB625A3B48625653/17633793361223CEFB625A3B48625653_img_330?hash=722d818aa1a3a64ff85e66e50807a695,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012660,"오버핏후드집업 여성트레이닝복 5color 오버핏 데일리 후드 집업
도매꾹판매가 36,700원 (1개 이상 구매) 바로가기","36,700원",36700,62012660,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763379237FBA70F0355569FB2854EA8/1763379237FBA70F0355569FB2854EA8_img_330?hash=e6a662815f91672510015b20ddbb43e3,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012634,"여성바지 와이드 하이웨이스트 하이웨이스트반바지 3color 레더 반바지
도매꾹판매가 20,400원 (1개 이상 구매) 바로가기","20,400원",20400,62012634,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763375775B642AC344138E38ECEEA8A/1763375775B642AC344138E38ECEEA8A_img_330?hash=b815667c309475bf849fbf27afc7934d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62011627,"남자트레이닝바지 등산 일자 허리밴딩 트레이닝 무지 팬츠 아웃도어 슬랙스 바지
도매꾹판매가 13,800원 (1개 이상 구매) 바로가기","13,800원",13800,62011627,,domeggook
