fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176341140319BF03C1F447D0409DC66C/176341140319BF03C1F447D0409DC66C_img_330?hash=c53ce524df521f3aecf07d4dc160b873,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014578,"WJFP-200W 온열기 난방기 히터 우주 벽걸이 PTC온풍기
도매꾹판매가 119,100원 (1개 이상 구매) 바로가기","119,100원",119100,62014578,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/16/176324575466F73DA2DD236207A2EFA9/176324575466F73DA2DD236207A2EFA9_img_330?hash=0f4b0608b192bdbcc8ed456f7e950196,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61990849,파티션 접이식 히터 4면 발 난로 온열기 겨울철 난방 휴대용 전기 기구,"71,800원",71800,61990849,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/17630867745B2E9FD83DD50705F8DF4A/17630867745B2E9FD83DD50705F8DF4A_img_330?hash=14753223da534a197ffa5bbe00ebb9b0,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61956699,"후지카 원적외선 카본 천정용 히터 FU-155
도매꾹판매가 168,000원 (1개 이상 구매) 바로가기","168,000원",168000,61956699,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/176302024576379B8438E8CC4A16A382/176302024576379B8438E8CC4A16A382_img_330?hash=ab97b9ea1ca656a39c882ca378593de6,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61946783,"석영관 2단 히터 발난로 온열기 캠핑히터 가정용히터
도매꾹판매가 28,500원 (1개 이상 구매) 바로가기","28,800원",28800,61946783,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/17630196538F949457082FC90075E68B/17630196538F949457082FC90075E68B_img_330?hash=ec77035204df59ae430c452417e05c0b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61946754,"우주 벽걸이 PTC온풍기 WJFP-200W 온열기 난방기 히터
도매꾹판매가 85,680원 (1개 이상 구매) 바로가기","85,680원",85680,61946754,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/1763019652399EF6AE1BD12743D67B80/1763019652399EF6AE1BD12743D67B80_img_330?hash=6508bfb97faf6de46399a8235d784cc2,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61946753,"우주 벽걸이 PTC온풍기 WJFP-200W 온열기 난방기 히터
도매꾹판매가 85,680원 (1개 이상 구매) 바로가기","85,680원",85680,61946753,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/1763016104207768AEC9196765273659/1763016104207768AEC9196765273659_img_330?hash=3b54b5e3fe0bd68b9c0430010ecf7711,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61944592,"열가마 좌석용 세라믹 14인치 가정용 실내 다용도 전도안전 회전 타이머 히터 온열기
도매꾹판매가 51,700원 (3개 이상 구매) 바로가기","52,100원",52100,61944592,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/17630159327179D818BDF368519D8266/17630159327179D818BDF368519D8266_img_330?hash=b302e2c74548d0bcc641871043376829,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61944356,"코일 히터 원통 3KW 전도안전 이중 안전망 실내용 온열기 전기스토브 난방기 난로
도매꾹판매가 118,100원 (3개 이상 구매) 바로가기","118,800원",118800,61944356,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/1763015859A777035627F234C49BF46A/1763015859A777035627F234C49BF46A_img_330?hash=62657fc52d8a030b33072e1b52424f61,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61944334,"카본 히터 원통 2.4KW 실내 난방 가정용 업소용 사무실 전기 스토브 온열기 난로
도매꾹판매가 151,100원 (3개 이상 구매) 바로가기","151,800원",151800,61944334,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/1763015400475A961F14E5CB0A311EA4/1763015400475A961F14E5CB0A311EA4_img_330?hash=92b410894290049cf9d227cfa12d70c4,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61944130,"열가마 벽걸이형 카본 16인치 900W 전열기구 난로 난방기 온열기 전기 히터 가정용
도매꾹판매가 51,700원 (3개 이상 구매) 바로가기","52,200원",52200,61944130,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/12/17628818820B0B232DBA7C671C60B09A/17628818820B0B232DBA7C671C60B09A_img_330?hash=01bd47e2fbdaaa964838d49d73ea8d4e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61912624,"엑티몬 손난로 워머 3단계 보조배터리
도매꾹판매가 28,900원 (1개 이상 구매) 바로가기","28,900원",28900,61912624,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/12/17628818125A9355B3501AD428625801/17628818125A9355B3501AD428625801_img_330?hash=fe435dbd6b515dc6d00bad985304695a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61912598,"휴대용손난로 충전식 보조배터리 양면발열 전기손난로
도매꾹판매가 36,400원 (1개 이상 구매) 바로가기","36,400원",36400,61912598,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/12/1762881778519F63291B05FD25A60D02/1762881778519F63291B05FD25A60D02_img_330?hash=9b922a25c5b94ee8b0e750a2cd0ae8b4,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61912583,"양면 손난로 목걸이형 히팅 충전식
도매꾹판매가 67,100원 (1개 이상 구매) 바로가기","67,100원",67100,61912583,,domeggook
