fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763348509171B8CF639B04C942BB402/1763348509171B8CF639B04C942BB402_img_330?hash=c41191e388857dd7591a4c9419c6e470,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62002154,"헬스 요가매트 폼폴러 수납 바구니 빨래 정리함 보관함
도매꾹판매가 14,600원 (1개 이상 구매) 바로가기","14,600원",14600,62002154,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/17630963564A1D86C4BC31D43C39EFA3/17630963564A1D86C4BC31D43C39EFA3_img_330?hash=f8b97f588beaa9e43d23a15379fe0aad,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61962162,"PU천연고무 183x68 요가매트 그레이 필라테스매트 5mm
도매꾹판매가 81,900원 (1개 이상 구매) 바로가기","81,900원",81900,61962162,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/17630825355E4C17C800990605BD1633/17630825355E4C17C800990605BD1633_img_330?hash=b4b64df5821dbec17aa63604faf2ecc0,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61954847,"NBR 와이드 요가매트
도매꾹판매가 31,200원 (1개 이상 구매) 바로가기","31,200원",31200,61954847,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/17630457850E2A144D8F0B64FDEB3475/17630457850E2A144D8F0B64FDEB3475_img_330?hash=53bc55668f22298d1de75bd094c72dc2,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61952422,"요가매트 15mm 퍼플 운동매트 다이어트매트 필라테스매트 두꺼운매트 홈트매트
도매꾹판매가 14,400원 (1개 이상 구매) 바로가기","14,400원",14400,61952422,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/1763004577F74DB31A8A53AE00CD19E6/1763004577F74DB31A8A53AE00CD19E6_img_330?hash=8adc135d740d388a56cc74de1d21a1d4,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61939693,"루미나D 우드pvc 요가매트 운동 대형 패드 홈트레이닝 넓은
도매꾹판매가 43,600원 (1개 이상 구매) 바로가기","43,600원",43600,61939693,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/12/1762931784A056500CC6AEB756C82250/1762931784A056500CC6AEB756C82250_img_330?hash=2858d3510611dd4f6f8ffe328b017629,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61926339,"데드리프트 헬스 요가 매트 밸런스 패드 대형 3컬러
도매꾹판매가 16,400원 (1개 이상 구매) 바로가기","16,400원",16400,61926339,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/12/17629254962A1B89FAD681779AC22AA1/17629254962A1B89FAD681779AC22AA1_img_330?hash=cb83483dad57c0dd577f2d70d2de725a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61923678,"요가매트[GEO 압축양면 요가매트]요가매트/필라테스매트/매트/6mm/필라테스/압축매트[주경]
도매꾹판매가 14,800원 (1개 이상 구매) 바로가기","17,760원",17760,61923678,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/12/17629201867AA0DD3EAB1464F53C4FB0/17629201867AA0DD3EAB1464F53C4FB0_img_330?hash=2ad748fdf8f672ef52a79dbfb3ae91f6,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61922489,"루미나D 와이드nbr 20mm 스포츠운동 요가매트 끈 필라 휴대용
도매꾹판매가 65,900원 (1개 이상 구매) 바로가기","65,900원",65900,61922489,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/12/17628822245BDEB00A61817DB87FFAC9/17628822245BDEB00A61817DB87FFAC9_img_330?hash=8870fa3d48e032b73cbcba50ba58709e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61912693,"NBR 홈트 운동 요가매트 15mm 퍼플
도매꾹판매가 17,500원 (1개 이상 구매) 바로가기","17,500원",17500,61912693,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/12/1762882217CB6CEB74D5A34191A8F6B8/1762882217CB6CEB74D5A34191A8F6B8_img_330?hash=8c97dbaad76f9265122296d44a7238e6,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61912692,"NBR 홈트 운동 요가매트 10mm 핑크
도매꾹판매가 12,600원 (1개 이상 구매) 바로가기","12,600원",12600,61912692,,domeggook
