fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634342671AD27E1C298CA805F2B04B/17634342671AD27E1C298CA805F2B04B_img_330?hash=f95a4a47abc913b503be351da8d78975,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020334,"넥워머 공장 목덜미 끈 고정 목덜미 끈 견인 의자 성인 어린이 고정 끈 목 보호대 통기성용
도매꾹판매가 2,790원 (10개 이상 구매) 바로가기","12,790원",12790,62020334,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763432966C303F50010069EE91A9633/1763432966C303F50010069EE91A9633_img_330?hash=f49f2e7c484dcc1f17091d5bba811b96,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019991,"국산 USB 온열방석 히팅 전기방석 휴대용
도매꾹판매가 19,500원 (1개 이상 구매) 바로가기","19,500원",19500,62019991,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634299634B328B38576D63A884C00A/17634299634B328B38576D63A884C00A_img_330?hash=3ed4b589827c493162322c34795a7587,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018765,"통풍성 좋은 대나무 마작 방석 홈패브릭 수예용품
도매꾹판매가 23,600원 (1개 이상 구매) 바로가기","23,600원",23600,62018765,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634299577CAF4E49186F80858F3EC5/17634299577CAF4E49186F80858F3EC5_img_330?hash=e41fa428c4815a29fd923723ef0615f0,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018764,"통풍성 좋은 대나무 마작 방석 홈패브릭 x2개
도매꾹판매가 36,800원 (1개 이상 구매) 바로가기","36,800원",36800,62018764,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634277578F119FCC2583BD321ABF7C/17634277578F119FCC2583BD321ABF7C_img_330?hash=b588088abccbd4a12ea023c5d54a17f0,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017569,"야외 활동 접이식 의자 가방 겸용 체어 휴대용
도매꾹판매가 25,200원 (1개 이상 구매) 바로가기","25,200원",25200,62017569,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427750F3EDBEF9BC697FAC3F5E9F/1763427750F3EDBEF9BC697FAC3F5E9F_img_330?hash=6112d50d2e8ca8bff0fbac57c19e3f7a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017562,"캠핑이나 등산 등 다양한 야외 활동 의자 접이식
도매꾹판매가 17,100원 (1개 이상 구매) 바로가기","17,100원",17100,62017562,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176342756853BE8873294E8C94B81DCC/176342756853BE8873294E8C94B81DCC_img_330?hash=bd4b364739709ee3e91bf1e3c5a4dc26,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017387,"겨울 방석 원형 사각 두꺼운 식탁 의자 방석 사무실 카페 푹신한 방석
도매꾹판매가 14,400원 (1개 이상 구매) 바로가기","14,400원",14400,62017387,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427231E59ECA58CF15761128F050/1763427231E59ECA58CF15761128F050_img_330?hash=fb3b65b77ca65ea8e4d52ee3f055d8b7,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017037,"차량용 목쿠션 등받이 허리 등쿠션 자동차목베개 의자
도매꾹판매가 19,600원 (1개 이상 구매) 바로가기","19,600원",19600,62017037,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763426645E7FA829B15C0FA80B7AC02/1763426645E7FA829B15C0FA80B7AC02_img_330?hash=4d0499bd36771079510a87f57661d30b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62016447,"귀여운 허리 쿠션 등받이 허리베개 의자 등 침대쿠션
도매꾹판매가 21,880원 (1개 이상 구매) 바로가기","21,880원",21880,62016447,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17633964693F20050C699F18FE9E3FB5/17633964693F20050C699F18FE9E3FB5_img_330?hash=c7163ab8fa7f359c41aacaa41ef96cdd,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014290,"바닥긁힘 방지 의자매트 발매트 바닥매트 현관매트 층간소음
도매꾹판매가 14,000원 (1개 이상 구매) 바로가기","14,000원",14000,62014290,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763395676DC6B4A4E3C5681A8BF4DEA/1763395676DC6B4A4E3C5681A8BF4DEA_img_330?hash=e94e95325a78cf4b96f73efbc3454a13,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014181,"일자형 허리보호 쿠션 베게 사무실 허리받침 등쿠션 목쿠션
도매꾹판매가 14,800원 (1개 이상 구매) 바로가기","14,800원",14800,62014181,,domeggook
