fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/09/20/17583681375983D33542F9A24916823E/17583681375983D33542F9A24916823E_img_330?hash=aa7ed4c8b29d5db996122ac1400f36cd,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60941515,"듀플렉스 체지방체중계 블루투스 DP-7705BTS (300x300x25mm)
도매꾹판매가 30,590원 (2개 이상 구매) 바로가기","30,590원",30590,60941515,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/09/20/1758368130EF62441037F3A83F7D6520/1758368130EF62441037F3A83F7D6520_img_330?hash=1f4c7d6d6484de122695a4e52283adef,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60941513,"엑토 체중계 디지털 피트미니 SLH-01 (280x160x19mm)
도매꾹판매가 16,000원 (2개 이상 구매) 바로가기","16,000원",16000,60941513,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/09/04/17569657247A799588E1FA9BC032383E/17569657247A799588E1FA9BC032383E_img_330?hash=8c2d12a2fa23d80f2915b805dc82f35b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60559266,"듀플렉스7707BTS 스마트 인바디 블루투스 디지털 체지방체중계 전자 체중계 체지방 측정 저울
도매꾹판매가 26,800원 (1개 이상 구매) 바로가기","27,800원",27800,60559266,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/07/24/1753322666CCA266789598B5444E8D58/1753322666CCA266789598B5444E8D58_img_330?hash=71c31c30c22718bd05eb2f3cb15a48f8,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=59931561,"전자 체중계 A16884(180kg) 색상랜덤
도매꾹판매가 14,880원 (1개 이상 구매) 바로가기","14,880원",14880,59931561,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/07/24/17533226677C5B8000304A798A66F580/17533226677C5B8000304A798A66F580_img_330?hash=71c31c30c22718bd05eb2f3cb15a48f8,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=59931562,"전자 체중계 A16885(180kg) 색상랜덤
도매꾹판매가 13,880원 (1개 이상 구매) 바로가기","13,880원",13880,59931562,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/02/18/1739864302E44C5EA134B44A8FEA8FB2/1739864302E44C5EA134B44A8FEA8FB2_img_330?hash=e0b1678f62bc7452a9957edfbd45ac8f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=54468572,"(ABM도매콜) 블루투스 스마트 체지방 체중계 화이트 SD-101W
도매꾹판매가 16,130원 (1개 이상 구매) 바로가기","18,520원",18520,54468572,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/02/18/17398643029E43EB00CC676E01C8D287/17398643029E43EB00CC676E01C8D287_img_330?hash=a0a533c6219dff4fb36584ceb50bb8e6,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=54468571,"(ABM도매콜) 블루투스 스마트 체지방 체중계 블랙 SD-100B
도매꾹판매가 16,130원 (1개 이상 구매) 바로가기","18,520원",18520,54468571,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2024/10/31/1730336634463D889EA15299CC91FB33/1730336634463D889EA15299CC91FB33_img_330?hash=fe49d4bd3f6ab26b09ed490588565d88,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=51250755,"인바디 체중계 스마트 AliExpress Collection INSMART 바디 무게추 욕실 디지털 밸런스 구성 바닥 저울 BMI
도매꾹판매가 17,500원 (1개 이상 구매) 바로가기","17,500원",17500,51250755,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2023/12/06/1701843657A4A9233189DA6DC03963F2/1701843657A4A9233189DA6DC03963F2_img_330?hash=a12efc56f9b73c22b660537033c8f499,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=42858348,"[후니케이스] 카푸 / 우리무역 스마트 체성분 인바디 체중계 -사업자전용-
도매꾹판매가 18,100원 (2개 이상 구매) 바로가기","18,300원",18300,42858348,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2023/12/06/170184361125156BE0B5C50711D10190/170184361125156BE0B5C50711D10190_img_330?hash=a12efc56f9b73c22b660537033c8f499,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=42858343,"[후니케이스] 카푸 / 우리무역 스마트 체성분 인바디 체중계
도매꾹판매가 18,100원 (2개 이상 구매) 바로가기","18,300원",18300,42858343,,domeggook
