fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634290474322EDFA9B053097679C75/17634290474322EDFA9B053097679C75_img_330?hash=553a2056bbda8c12ba947fd107cf8b2f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62018438,"이엑스파워 EGV-85 휴대용 무선 미니 청소기
도매꾹판매가 75,500원 (1개 이상 구매) 바로가기","75,500원",75500,62018438,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763425024BC144C64FD68789139ABC6/1763425024BC144C64FD68789139ABC6_img_330?hash=01c1fb5429a8ec8ce2647bff4987ae4f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015337,"차량용 초강력 무선청소기 크린몬스터 실내청소기
도매꾹판매가 35,760원 (1개 이상 구매) 바로가기","35,760원",35760,62015337,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763349497516B13D59B2CD552D76545/1763349497516B13D59B2CD552D76545_img_330?hash=471b2d84871e291a0900675b2aa105ff,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62002897,"간편한 휴대용 접이식 미니 파워 에어건 차량 청소기
도매꾹판매가 50,300원 (1개 이상 구매) 바로가기","50,300원",50300,62002897,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633490003D725598A6834C506B9094/17633490003D725598A6834C506B9094_img_330?hash=78c709b2505ca83457803736418dd33b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62002583,"미니멀 소형클리너 듀얼 무선 청소기 보관 용이 다용도
도매꾹판매가 68,100원 (1개 이상 구매) 바로가기","68,100원",68100,62002583,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763348976A7BCAC8FB2373D32B73044/1763348976A7BCAC8FB2373D32B73044_img_330?hash=1efd51305b9fbeb42ed9e401b4d179ad,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62002569,"휴대가 간편한 다용도 미니 에어건 강력한 핸디청소기
도매꾹판매가 78,400원 (1개 이상 구매) 바로가기","78,400원",78400,62002569,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/15/176320854901981AB03CBE20BDFB9B9E/176320854901981AB03CBE20BDFB9B9E_img_330?hash=c1858aae22c766e5186eb4438ad4235b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61989775,"바로바로610 국산 핸디형 무선 차량용 진공 청소기
도매꾹판매가 37,500원 (1개 이상 구매) 바로가기","37,500원",37500,61989775,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/1762845356EC89B73A7AFB33D2AE62E3/1762845356EC89B73A7AFB33D2AE62E3_img_330?hash=4c5f61e6b47f79eb029dca8c3cfa3d90,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61901869,"접이식 핸디 무선 에어건 헤파 필터 차량용 청소기 블랙
도매꾹판매가 88,300원 (1개 이상 구매) 바로가기","88,300원",88300,61901869,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/17628306591550E02012681437F3F264/17628306591550E02012681437F3F264_img_330?hash=1b7a786485e8b42ac9a14c90baa27c88,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61895236,"차량용 미니 데일리 핸드 무선 접이식 청소기
도매꾹판매가 49,400원 (1개 이상 구매) 바로가기","49,400원",49400,61895236,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/07/1762491234760A055CFC963628FB11F4/1762491234760A055CFC963628FB11F4_img_330?hash=c43a33e2bd1d983be5377167b09f231a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61834038,"듀얼 클리너 소형 미니멀 가벼운 무선 핸디 청소기
도매꾹판매가 66,800원 (5개 이상 구매) 바로가기","66,800원",66800,61834038,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/07/1762491213891D2B701462B48DDE6D55/1762491213891D2B701462B48DDE6D55_img_330?hash=2e9fe2318933cbbc68ebfd41cbc54891,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61834035,"휴대용 무선 핸디 청소기 소형 미니 AAx4 책상 청소 키보드 청소 차량 내부 청소
도매꾹판매가 17,000원 (5개 이상 구매) 바로가기","17,000원",17000,61834035,,domeggook
