fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763437211BB8C5534C75C0558F32775/1763437211BB8C5534C75C0558F32775_img_330?hash=a102f395f7105af6ad9dc7fccbbeee43,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62020903,"기모 롤업 와이드 데님 팬츠 청바지 2컬러 남성 겨울
도매꾹판매가 25,200원 (1개 이상 구매) 바로가기","25,200원",25200,62020903,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176342509726784EF44B279308586377/176342509726784EF44B279308586377_img_330?hash=96538eb32de847d2c5525ab36cc03e38,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015479,"운동 헬스 조깅 레깅스 포켓 내장 데일리 남성 반바지
도매꾹판매가 19,670원 (1개 이상 구매) 바로가기","19,670원",19670,62015479,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763397131CF9476C9DEEB8CD76F4E71/1763397131CF9476C9DEEB8CD76F4E71_img_330?hash=931a3055006474640edc7a933e2e9f97,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014410,남자청바지 남성 겨울 기모 와이드 팬츠 청바지 캐주얼룩,"43,900원",43900,62014410,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763397083F3C540564A15B5B88F4BFE/1763397083F3C540564A15B5B88F4BFE_img_330?hash=77552e50f2a1a2d47f9df2bff7b7f0a9,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014403,겨울청바지 남성 남자 기모 와이드 데님 팬츠 청바지 2컬러,"29,300원",29300,62014403,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17633967934A6DC1E7963427B5ED5DB7/17633967934A6DC1E7963427B5ED5DB7_img_330?hash=c52296ab2c8da0304f1aef2b9ececb6d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014357,겨울청바지 여성 여자 기모 와이드 일자 데님 청바지,"78,200원",78200,62014357,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763380339588C7837E138CB7472F956/1763380339588C7837E138CB7472F956_img_330?hash=56a83ce3b1bbe77db39a29649f832117,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012826,"겨울여자청바지 청바지 밍크 기모 여자 연청 겨울 와이드 밍크기모팬츠 데님팬츠
도매꾹판매가 26,000원 (1개 이상 구매) 바로가기","26,000원",26000,62012826,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/176337868209408C641060EB39AFB5DE/176337868209408C641060EB39AFB5DE_img_330?hash=d32b8912dea3ab527d8f55fee1e75c3a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012561,"라벨 패치 레깅스 기모 URD-121
도매꾹판매가 14,500원 (1개 이상 구매) 바로가기","14,500원",14500,62012561,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763375187B875904483A36E5767C3DB/1763375187B875904483A36E5767C3DB_img_330?hash=268422807de1ab942e582e686b57e1b9,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62011532,"라운드넥니트 여자 반팔카라티 카라면티 넥 카라 청바지 코디 하트 티셔츠 크롭
도매꾹판매가 28,200원 (1개 이상 구매) 바로가기","28,200원",28200,62011532,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763365953E45566457FF03A121AEAD9/1763365953E45566457FF03A121AEAD9_img_330?hash=4a8043041eb11fd47f97dde4e9a6d298,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62008518,"뉴비기닝 25110181 하트 청바지
도매꾹판매가 22,705원 (2개 이상 구매) 바로가기","23,900원",23900,62008518,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763365694441BE14F9F1FAAEED2143C/1763365694441BE14F9F1FAAEED2143C_img_330?hash=0d8708e5342389a606f14b244840f704,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62008500,"뉴비기닝 25110177 프린트 와이드 청바지
도매꾹판매가 23,275원 (2개 이상 구매) 바로가기","24,500원",24500,62008500,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633656355AE9DEE7A32EC872207339/17633656355AE9DEE7A32EC872207339_img_330?hash=dee8919f2c5e4827b181e0e436aada08,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62008497,"뉴비기닝 25110176 별 와이드 청바지
도매꾹판매가 24,130원 (2개 이상 구매) 바로가기","25,400원",25400,62008497,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633596689695FB8BDEC197DF2304E1/17633596689695FB8BDEC197DF2304E1_img_330?hash=a3c56f801c450184068cdda276cd4c6f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62006638,"남자 와이드 팬츠 여자 밴딩 청바지 데님 캐주얼
도매꾹판매가 30,100원 (1개 이상 구매) 바로가기","30,100원",30100,62006638,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633596399669A7648FCA46B994BA0C/17633596399669A7648FCA46B994BA0C_img_330?hash=c3a5f152f60661fb7f879649d5e11cf7,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62006629,"청바지 캐주얼 남자 와이드 카고 데님 여자
도매꾹판매가 33,100원 (1개 이상 구매) 바로가기","33,100원",33100,62006629,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633590693C5EA56CB7229EECA283A2/17633590693C5EA56CB7229EECA283A2_img_330?hash=0867ab9075e6fe9a9f7cd1a7af44f705,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62006484,"남자 와이드 팬츠 여자 밴딩 청바지 데님 캐주얼
도매꾹판매가 30,100원 (1개 이상 구매) 바로가기","30,100원",30100,62006484,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763359039644B6FCC9BD692845B86F8/1763359039644B6FCC9BD692845B86F8_img_330?hash=99ac1867f4af5ad6d065383d44aba59c,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62006479,"청바지 캐주얼 남자 와이드 카고 데님 여자
도매꾹판매가 33,100원 (1개 이상 구매) 바로가기","33,100원",33100,62006479,,domeggook
