fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633475352A3637BD638A026EFBCF33/17633475352A3637BD638A026EFBCF33_img_330?hash=d9b2fa427d1a795159a917beb8386c6f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62001088,"COXY 블루투스 체중계 USB타입
도매꾹판매가 17,500원 (1개 이상 구매) 바로가기","17,500원",17500,62001088,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/16/1763294665CEC3D6D049353327925C34/1763294665CEC3D6D049353327925C34_img_330?hash=12e8614e78eb7e1ff57b8246559f833c,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61994018,"신광 강화유리체중계 LCD 디지털체중계 몸무게 저울 (블 화) 바디체중계 스마트체중계
도매꾹판매가 16,100원 (1개 이상 구매) 바로가기","16,100원",16100,61994018,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/1763104332A047262A4D43BF46C2C6C2/1763104332A047262A4D43BF46C2C6C2_img_330?hash=7ecd625a8bc353e956c739870e3f65fc,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61966574,"USB 충전식 가정용 LCD 디지털 고급 몸무게 체중계
도매꾹판매가 16,200원 (5개 이상 구매) 바로가기","16,200원",16200,61966574,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/17630008461263725BB44B10D959B0FC/17630008461263725BB44B10D959B0FC_img_330?hash=3bf8a266ed64692410fae01c494a35f6,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61937677,가정용 슬림시커 기계식 체중계 비만계 130kg 스포츠 정밀,"14,900원",14900,61937677,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/176284562127D15A7196B43EE41B9B63/176284562127D15A7196B43EE41B9B63_img_330?hash=bd94c53c86460f090696c4a776a04a46,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61902035,"디지털 스마트 체중계 가정용 전자 고급 몸무게 측정기
도매꾹판매가 14,100원 (5개 이상 구매) 바로가기","14,100원",14100,61902035,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/1762828032DBFF7DC91BE53FD508F3AD/1762828032DBFF7DC91BE53FD508F3AD_img_330?hash=b96e1a4459373ccf095513bfde3689db,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61893777,"카스 디지털 체중계 BFA-23 체지방계
도매꾹판매가 38,900원 (1개 이상 구매) 바로가기","38,900원",38900,61893777,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/1762828018FDF30625CAD47035D8DA5B/1762828018FDF30625CAD47035D8DA5B_img_330?hash=264efe7df5745971ebb129802196aeb4,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61893772,"카스 디지털 체중계 HE-70
도매꾹판매가 28,500원 (1개 이상 구매) 바로가기","28,500원",28500,61893772,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/10/1762736119AD17ADC07D4B9893A32A70/1762736119AD17ADC07D4B9893A32A70_img_330?hash=dd28dacdb085a8c1fc654b09c78e91e9,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61868176,"신광 강화유리체중계 LCD 디지털체중계 바디체중계
도매꾹판매가 16,100원 (1개 이상 구매) 바로가기","16,100원",16100,61868176,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/07/1762520299FA72D06AA57262189A7D79/1762520299FA72D06AA57262189A7D79_img_330?hash=9323b2d4846ade151636373a298d434d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61843349,"EAS 페인팅 디지털 체중계 그린
도매꾹판매가 16,200원 (1개 이상 구매) 바로가기","16,200원",16200,61843349,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/07/17625202913AF2276FEBB83728B02BC2/17625202913AF2276FEBB83728B02BC2_img_330?hash=2079f59edf811ab5fb7e3b2fabcd3e95,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61843345,"EAS 건강관리 수채 디지털 체중계
도매꾹판매가 15,500원 (1개 이상 구매) 바로가기","15,500원",15500,61843345,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/07/17625202841CB8ECD50A9751FDBC29E8/17625202841CB8ECD50A9751FDBC29E8_img_330?hash=4f286cbe64f8afc0952ee42614a868e4,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61843341,"EAS 크리스탈 디지털 체중계 핑크
도매꾹판매가 15,500원 (1개 이상 구매) 바로가기","15,500원",15500,61843341,,domeggook
