fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763337488C92FC870EB6AD714FA194D/1763337488C92FC870EB6AD714FA194D_img_330?hash=e9617021c13cbb74b8d8224e7d93df43,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61996581,"프리미엄 36구 캡슐커피홀더 슬라이딩 보관함 서랍식 스틸 보관함 커피머신 선반 겸용
도매꾹판매가 24,720원 (2개 이상 구매) 바로가기","26,450원",26450,61996581,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/1763088547E09DD2ADCF5E6A989892F7/1763088547E09DD2ADCF5E6A989892F7_img_330?hash=e7687bbe6adaad5bee5669fbf96a7396,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957639,"커피거품기 크로스보더 커피머신 가정용 소형 이탈리안 반자동 에스프레소 커피머신 도매
도매꾹판매가 134,400원 (1개 이상 구매) 바로가기","134,400원",134400,61957639,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/1763088545D2FB20D9E3C11BBFD774F4/1763088545D2FB20D9E3C11BBFD774F4_img_330?hash=238178317896aeca3aef117dbd6d5b12,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957635,"커피거품기 외국무역 국경간 공급원 커피머신 가정용 소형 반자동 이탈리아식 농축 고압증기 우
도매꾹판매가 199,500원 (1개 이상 구매) 바로가기","199,500원",199500,61957635,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/176308854464A57811546406F87BED0B/176308854464A57811546406F87BED0B_img_330?hash=2e929c70213b24ee20f106d440771970,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957633,"커피거품기 이태리식 반자동 프레스 커피머신 가정용 농축 소형 오피스 스팀 거품기 크로스보더
도매꾹판매가 135,000원 (1개 이상 구매) 바로가기","135,000원",135000,61957633,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/1763088542B993A0CCDBB5E5CE2BCE10/1763088542B993A0CCDBB5E5CE2BCE10_img_330?hash=3779789835532c0f4e1906f33f767dbb,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957629,"커피거품기 이탈리안 반자동 프레스 커피머신 가정용 농축 소형 오피스 스팀 거품기 이탈리안
도매꾹판매가 142,500원 (1개 이상 구매) 바로가기","142,500원",142500,61957629,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/17630885409A4FD47109DAF4ABBAE1A2/17630885409A4FD47109DAF4ABBAE1A2_img_330?hash=b359bba474c66cf5a258e3007d6b0d5b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957628,"커피거품기 크로스보더 유럽식 반자동 커피머신 고압추출 거품 스마트 커피 추출기 거품기
도매꾹판매가 190,000원 (1개 이상 구매) 바로가기","190,000원",190000,61957628,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/17630885402E7BBD68D50D1FA4DE4678/17630885402E7BBD68D50D1FA4DE4678_img_330?hash=df177d90d4ee6fb43f9ab178283f72ba,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957627,"커피거품기 RAF 유러피언 크로스보더 커피머신 가정용 소형 반자동 고압증기 거품 추출 코프
도매꾹판매가 177,700원 (1개 이상 구매) 바로가기","177,700원",177700,61957627,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/1763088539BB6548DA21932F67C7E91F/1763088539BB6548DA21932F67C7E91F_img_330?hash=df177d90d4ee6fb43f9ab178283f72ba,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957626,"커피거품기 RAF 유럽규격 크로스보더 커피머신 가정용 소형 반전자동 고압 스팀 버블 오피스
도매꾹판매가 69,000원 (1개 이상 구매) 바로가기","69,000원",69000,61957626,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/1763088538FC799C52E38B94BEBEABBF/1763088538FC799C52E38B94BEBEABBF_img_330?hash=4d47c29694a4edf6a0861ac3cfcd187b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957625,"커피거품기 크로스보더 베스트셀러 이태리 반자동 일체형 커피머신 고압추출 가정용 원터치 농축
도매꾹판매가 149,000원 (1개 이상 구매) 바로가기","149,000원",149000,61957625,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/14/1763088535F6399CED3046ADD095F148/1763088535F6399CED3046ADD095F148_img_330?hash=a2363f32c17a71311c4db0c234d87b55,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61957620,"커피거품기 크로스보더 이탈리안 커피머신 전자동 고압추출 거품펌프 프레스 에스프레소머신 대외
도매꾹판매가 142,500원 (1개 이상 구매) 바로가기","142,500원",142500,61957620,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/13/17630049305AB98762256CFC3EE27ED9/17630049305AB98762256CFC3EE27ED9_img_330?hash=63147c80b26c95790a95d771cfb83fb5,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61940407,"루미나D 주방 실리콘 매트 커피머신 드라밍 건조 트레이
도매꾹판매가 43,200원 (1개 이상 구매) 바로가기","43,200원",43200,61940407,,domeggook
