fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763443287D4EE4B0158F718C601C298/1763443287D4EE4B0158F718C601C298_img_330?hash=6e51cfe6aa0257579a1c6e211ab0956e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62022865,"크로스백 미니 ELG 253 나일론 솔리드 나일론가방 여성가방 토트백 복주머니백 나일론백 미니백
도매꾹판매가 18,000원 (1개 이상 구매) 바로가기","18,000원",18000,62022865,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763443317850318C9B4200B070A0056/1763443317850318C9B4200B070A0056_img_330?hash=aad435a63e123644f85f60109dcd4112,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62022928,"남자 운동 가방 빌리버스 여행용 BJI569 크로스백 더플백 남자보스턴백 운동가방 숄더백 여행용
도매꾹판매가 80,000원 (1개 이상 구매) 바로가기","80,000원",80000,62022928,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763443329CE51C5DD374F105863D3BF/1763443329CE51C5DD374F105863D3BF_img_330?hash=f4512a6525f7c17f51d16e43e0c871ef,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62022951,"리본 시나모롤 크로스백 블링 사각 블루 유아가방 크로스 유아크로스 캐릭터가방 가방 어린이가방 아
도매꾹판매가 21,000원 (1개 이상 구매) 바로가기","21,000원",21000,62022951,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763443329A0B4369BBB4CEE1E2B6DC9/1763443329A0B4369BBB4CEE1E2B6DC9_img_330?hash=e076f0c906101bea46207562a210b6a0,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62022952,"크로스백 사각 핑크 시나모롤 리본 블링 어린이가방 어린이크로스 유아크로스 캐릭터가방 아동가방 크
도매꾹판매가 21,000원 (1개 이상 구매) 바로가기","21,000원",21000,62022952,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176344340492226ECAFF32E1D4F6EB05/176344340492226ECAFF32E1D4F6EB05_img_330?hash=1bba574fb621d4693d1c0e23fb01bd11,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62023109,"스웨이드 ELG 숄더 246 크로스백 토트백 사각크로스백 여자가방 캔버스백 고급가방 여성가방 숄
도매꾹판매가 28,200원 (1개 이상 구매) 바로가기","28,200원",28200,62023109,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176344340853949848E522D30AF5E5ED/176344340853949848E522D30AF5E5ED_img_330?hash=b6388dc6ed48ce61a6d58d30f70ae15e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62023119,"토트크로스백 러블리 245 ELG 미니 가죽 캔버스백 출퇴근백 토트백 사각크로스백 숄더백 크로스
도매꾹판매가 29,400원 (1개 이상 구매) 바로가기","29,400원",29400,62023119,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634435993FCE261C5BB8EFE2855783/17634435993FCE261C5BB8EFE2855783_img_330?hash=101f4a160da53032b4ea9386cba6f129,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62023520,"스트링 미니 크로스백 0074 여행용 DK 여행용미니백 여행용미니가방 미니크로스백 핸드폰가방 작
도매꾹판매가 14,200원 (1개 이상 구매) 바로가기","14,200원",14200,62023520,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/176344360103069EEA4EFD5BDB22F2C8/176344360103069EEA4EFD5BDB22F2C8_img_330?hash=00deb2090821eda9c66c2e12da8f72d4,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62023523,"복조리백 메탈릭 DK 0063 미니 체인 크로스백 핸드폰가방 미니가방 미니백 미니크로스백 메탈크
도매꾹판매가 18,800원 (1개 이상 구매) 바로가기","18,800원",18800,62023523,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763439528602D08286DD9AD3ECC858F/1763439528602D08286DD9AD3ECC858F_img_330?hash=f4fd82e3657fb5899fabd0cff2b03541,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62021268,"아엘리에 스카이블루 프리미엄 소가죽 크로스백 가방 숄더백 슬링백 토트백 파우치 보스턴백 여성가방
도매꾹판매가 35,910원 (1개 이상 구매) 바로가기","33,915원",33915,62021268,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634394644A4607184AA44E78D2F252/17634394644A4607184AA44E78D2F252_img_330?hash=74a305cc7083430cda4489a62854e45d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62021252,"아엘리에 바이올렛 프리미엄 소가죽 크로스백 가방 숄더백 슬링백 토트백 파우치 보스턴백 여성가방
도매꾹판매가 35,910원 (1개 이상 구매) 바로가기","33,915원",33915,62021252,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634393959A76D3C5A9923AE9BBDFB7/17634393959A76D3C5A9923AE9BBDFB7_img_330?hash=b486b88379ff95737912b7aece15dd84,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62021242,"아엘리에 베이지 프리미엄 소가죽 크로스백 가방 숄더백 슬링백 토트백 파우치 보스턴백 여성가방
도매꾹판매가 35,910원 (1개 이상 구매) 바로가기","33,915원",33915,62021242,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634393323F3B7EECFDE297F28B13AC/17634393323F3B7EECFDE297F28B13AC_img_330?hash=779ee0971f20b5adf9f4d6c153b887b8,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62021223,"아엘리에 브라운 프리미엄 소가죽 크로스백 가방 숄더백 슬링백 토트백 파우치 보스턴백 여성가방
도매꾹판매가 35,910원 (1개 이상 구매) 바로가기","33,915원",33915,62021223,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634392341BB91D92887C711B8A999A/17634392341BB91D92887C711B8A999A_img_330?hash=08e564118261f6b7462796d6bef6c7cb,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62021179,"아엘리에 블랙 프리미엄 소가죽 크로스백 가방 숄더백 슬링백 토트백 파우치 보스턴백 여성가방
도매꾹판매가 35,910원 (1개 이상 구매) 바로가기","33,915원",33915,62021179,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634317780BFB3F4A5E8F4B9A40EB79/17634317780BFB3F4A5E8F4B9A40EB79_img_330?hash=1ddce9ad78bbc71d8cb76710b0652237,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019563,"남성 휴대용 심플 옥스퍼드 멀티포켓 간편 튼튼 크로스백
도매꾹판매가 14,700원 (1개 이상 구매) 바로가기","14,700원",14700,62019563,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634317726C4216BE2F5E8BC66B7525/17634317726C4216BE2F5E8BC66B7525_img_330?hash=bf0d8aba8258db7f8ab5e9f68aae0614,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62019559,"남성 두가지타입 휴대용 미니 생활방수 간편착용 크로스백
도매꾹판매가 14,500원 (1개 이상 구매) 바로가기","14,500원",14500,62019559,,domeggook
