fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763427522D8C1F93B4E4098050D4E7B/1763427522D8C1F93B4E4098050D4E7B_img_330?hash=9ede5966bb02ea393c1772ce288deb2b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62017335,"기모 츄리닝 바지 따뜻한 겨울 포인트 데일리 조거 팬츠
도매꾹판매가 12,800원 (1개 이상 구매) 바로가기","12,800원",12800,62017335,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763425082708C50E7594E277354860F/1763425082708C50E7594E277354860F_img_330?hash=d89ad45d9222ed87cdbed2ebce0d6b1a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015451,"겨울 조거 바지 따뜻한 조커 카고 팬츠 겨울 방한
도매꾹판매가 15,130원 (1개 이상 구매) 바로가기","15,130원",15130,62015451,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634253037906D8714114785A74F0B5/17634253037906D8714114785A74F0B5_img_330?hash=db918443eec6cdd8805efef1656f7412,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015864,"기모 밴딩 팬츠 방한 겨울 츄리닝 트레이닝 벨벳 바지
도매꾹판매가 13,760원 (1개 이상 구매) 바로가기","13,760원",13760,62015864,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763397097272AB8A854F827B7BF2EBF/1763397097272AB8A854F827B7BF2EBF_img_330?hash=27f20600e8b3d7a96f3f92f060d94c62,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014405,겨울 방한 여성 여자 스트링 기모 와이드 팬츠 밴딩 츄리닝 트레이닝 바지,"18,100원",18100,62014405,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763397077878BB0F3235608E2D10587/1763397077878BB0F3235608E2D10587_img_330?hash=a7e0efe7af64cb09737448698d76e466,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014401,겨울바지 여성 여자 기모 와이드 팬츠 밴딩 츄리닝 트레이닝 바지,"34,600원",34600,62014401,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17633970569E9008BC6D6A91C2E27974/17633970569E9008BC6D6A91C2E27974_img_330?hash=1cfcf945cf3742745e7c0c4079d9b001,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014398,겨울 남자 남성 캐주얼 와이드팬츠 기모 밴딩 츄리닝 트레이닝 바지 팬츠,"26,100원",26100,62014398,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763397034B860F49A52951FB686D54C/1763397034B860F49A52951FB686D54C_img_330?hash=99536f51330f5263f91aab204d7f9730,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014395,여성 여자 겨울 기모팬츠 와이드 트레이닝 팬츠 무지 밴딩 바지,"33,000원",33000,62014395,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763397027BA9A7DACB20D8DA0C43B43/1763397027BA9A7DACB20D8DA0C43B43_img_330?hash=1c98a69984416574714a4bec93e13ee7,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014394,남성 겨울 남자 기모팬츠 와이드 밴딩 팬츠 스트링 트레이닝 츄리닝 바지,"32,700원",32700,62014394,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763397021E73F2856658CC374B1F4BC/1763397021E73F2856658CC374B1F4BC_img_330?hash=c7f92b1d7097c5c3816976a822e913ee,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014393,남성 남자 밍크 기모팬츠 와이드 트레이닝 팬츠 스트링 츄리닝 바지,"34,500원",34500,62014393,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763396946721D4B17A165DB43A3808A/1763396946721D4B17A165DB43A3808A_img_330?hash=13332dab952d97bd68ae6d4348553c5d,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014382,남자 겨울 남성 기모팬츠 와이드 스트링 밴딩 팬츠 츄리닝 트레이닝 바지,"25,200원",25200,62014382,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17633969324EAFBE2BD7E33B959FC8F4/17633969324EAFBE2BD7E33B959FC8F4_img_330?hash=259b486ad96dfa70ee0ab16eccf05d70,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014380,여자 여성 겨울 통바지 스판 기모 와이드 밴딩 팬츠 츄리닝 트레이닝 바지,"24,300원",24300,62014380,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763396895FD6A612338DD9963D090FD/1763396895FD6A612338DD9963D090FD_img_330?hash=d7e136b6efeeea53f8e28770187b8011,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014375,캐주얼룩 남성 겨울 트레이닝팬츠 기모 와이드 조거 밴딩 팬츠 바지,"34,200원",34200,62014375,,domeggook
