fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/11/1762842753554A8CBD02BFDB42F52AF7/1762842753554A8CBD02BFDB42F52AF7_img_330?hash=02aebabfae1357e42cb6c06fada437fb,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61900142,"남성용 봄 가을 스트라이프 긴팔 티셔츠 고급 카라 폴로셔츠 루즈핏 데일리 코디템 베이직 110503
도매꾹판매가 23,800원 (1개 이상 구매) 바로가기","23,800원",23800,61900142,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/10/09/1759993267962FEF981305246729A0C9/1759993267962FEF981305246729A0C9_img_330?hash=35bc2f0f9d4d31572c20ffc8e1044d95,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61271352,"폴로반팔니트 재고 정리 니트 칼라 2025 여름 반팔 폴로셔츠 여성 상의 자수 꽃무늬 칼라
도매꾹판매가 3,690원 (10개 이상 구매) 바로가기","13,690원",13690,61271352,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/10/09/175999330742DABEC8792C75EF296861/175999330742DABEC8792C75EF296861_img_330?hash=709f49bb2bcf57f4234a8fd5399eb500,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=61271414,"카라니트 재고 정리 니트 칼라 2025 여름 반팔 폴로셔츠 여성 상의 자수 꽃무늬 칼라 면
도매꾹판매가 3,810원 (10개 이상 구매) 바로가기","13,810원",13810,61271414,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/09/20/1758347613491E0A768A660352BD73F9/1758347613491E0A768A660352BD73F9_img_330?hash=0cc62cb9471fbcdbda3d28542bd16f3f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60934636,"스타일리쉬트리밍 30수 폴로셔츠 셔츠/데일리티셔츠 스탠다드
도매꾹판매가 34,200원 (1개 이상 구매) 바로가기","34,200원",34200,60934636,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/09/20/17583380305F9F8F62FDE5DDA34B31DC/17583380305F9F8F62FDE5DDA34B31DC_img_330?hash=381c393186ba10f5c4ed25fe8c92ffd8,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60924319,"PK 심플패턴 숏슬리브 상의 S/S 골프웨어베이직 젠틀맨 폴로셔츠
도매꾹판매가 24,600원 (1개 이상 구매) 바로가기","24,600원",24600,60924319,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/09/20/1758337964EAA9DEA5D88FB86CDD1DA2/1758337964EAA9DEA5D88FB86CDD1DA2_img_330?hash=6b7f5c45dbb064d6728b64b54cb5760b,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60923833,"냉감 액티브 폴로셔츠 여름철 반소매 시그니처액티브 커플용
도매꾹판매가 14,500원 (1개 이상 구매) 바로가기","14,500원",14500,60923833,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/09/20/17583379202793716EA2EAA23EC45D66/17583379202793716EA2EAA23EC45D66_img_330?hash=506aef86cb2547a0d5706ae764b2a5e0,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60923810,"숏슬리브 썸머 폴로셔츠 단체 유니폼 피케 베스트상의 음식점
도매꾹판매가 21,000원 (1개 이상 구매) 바로가기","21,000원",21000,60923810,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/09/20/17583324993AA935DBD16A04F2AA7512/17583324993AA935DBD16A04F2AA7512_img_330?hash=9723630fd84adbb0c72b743212b9adf3,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60918018,"심플넥 우먼 체리 그래픽 코튼 재질 숏슬리브 티 트렌디 폴로셔츠 레이디스
도매꾹판매가 27,000원 (1개 이상 구매) 바로가기","27,000원",27000,60918018,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/09/06/1757158628088D0DA5DB668E416ECDC5/1757158628088D0DA5DB668E416ECDC5_img_330?hash=30288957da5deb6165f6ff6da5e41c08,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=60601181,"긴팔티셔츠 남자 중년 긴팔 폴로셔츠 춘추 아빠 상의 남자 긴팔 티셔츠 카라 090501
도매꾹판매가 19,800원 (1개 이상 구매) 바로가기","19,800원",19800,60601181,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/04/23/1745386498F9EE712B75F94D4AE837F3/1745386498F9EE712B75F94D4AE837F3_img_330?hash=7b208e32770ec09a87812edcc73ac878,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=57056563,"아메리칸 스쿨룩 세트 여 여름 디자인 감각 루즈핏 폴로셔츠 캐주얼 트레이닝 반팔티 반바지 투피스
도매꾹판매가 11,300원 (2개 이상 구매) 바로가기","12,440원",12440,57056563,,domeggook
