fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17634267201CE20484352C2B54C0F9CE/17634267201CE20484352C2B54C0F9CE_img_330?hash=52e081e4a03a93736efbb4f7eaa3c3b8,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62016483,후드집업 양털기모 남녀공용 오버핏 점퍼 루즈핏후드티 캐주얼 겨울,"19,800원",19800,62016483,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/1763425241BCFEF960D53ED07328A185/1763425241BCFEF960D53ED07328A185_img_330?hash=8dc9c093f39cd79cba90a591f1d7a896,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62015749,"트레이닝 양털 후드 티셔츠 겨울 집업 팬츠 셋업
도매꾹판매가 12,380원 (1개 이상 구매) 바로가기","12,380원",12380,62015749,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/18/17633967206F177DD64F5D43DBECD411/17633967206F177DD64F5D43DBECD411_img_330?hash=d4d3ebf43ed371084b6e29344963569a,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62014343,여성 여자 겨울 기모 투웨이 후드집업 와이드 밴딩 바지 츄리닝 트레이닝복 세트,"43,500원",43500,62014343,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763380880170D259D64CF0382352053/1763380880170D259D64CF0382352053_img_330?hash=03559bbff02cd9d0078db07cf8beed6c,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012897,"여자후드집업 베이직 봄가을겨울점퍼 6컬러 후드집업점퍼 가을 봄 겨울이너 여자
도매꾹판매가 19,200원 (1개 이상 구매) 바로가기","19,200원",19200,62012897,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763380873AA6423CFF16DD36E84EF11/1763380873AA6423CFF16DD36E84EF11_img_330?hash=782747852ab583fb1652eabade9be256,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012896,"여성후드집업 루즈핏점퍼 베이직 루즈핏 여성 집업점퍼 무지 5컬러 후드집업
도매꾹판매가 52,500원 (1개 이상 구매) 바로가기","52,500원",52500,62012896,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633805251C57B9CA111B28F47721C7/17633805251C57B9CA111B28F47721C7_img_330?hash=8540f8a6c43dbdd1b78620bacc9f1cca,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012853,"겨울후드집업 여자 남자 단체티 후드티 겨울 기모후드티 후드집업 기모 루즈핏
도매꾹판매가 31,700원 (1개 이상 구매) 바로가기","31,700원",31700,62012853,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763380455ACDDC84055AAD6659BC76B/1763380455ACDDC84055AAD6659BC76B_img_330?hash=1168d7cf4a25b3ed9ffe84b1307e7751,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012842,"후드티 긴팔 가을 긴팔티셔츠 무지 단체 여자 티셔츠 후드집업 남자 봄
도매꾹판매가 21,900원 (1개 이상 구매) 바로가기","21,900원",21900,62012842,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633804100F113FD04EAE3D7760A030/17633804100F113FD04EAE3D7760A030_img_330?hash=0cd634b345a326404d7b010262fe8493,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012836,"가을후드집업 가을 단체복 후드집업 루즈핏 스후드 봄 봄후드티 후드티
도매꾹판매가 30,200원 (1개 이상 구매) 바로가기","30,200원",30200,62012836,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763376888C9829E178729C0E27D11E3/1763376888C9829E178729C0E27D11E3_img_330?hash=59c350ccc7307731d79b0c5821b8d44e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62011858,"4컬러 겨울 뽀글이 후리스 여성 곰돌이 털후드티셔츠
도매꾹판매가 45,200원 (1개 이상 구매) 바로가기","45,200원",45200,62011858,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763376753782FD292D3A7C761B87232/1763376753782FD292D3A7C761B87232_img_330?hash=1d6aa34a5486570f21ab14d17e4a6763,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62011773,"4컬러 후드집업 여성 슬림핏 폴라플리스 가을 겨울
도매꾹판매가 57,400원 (1개 이상 구매) 바로가기","57,400원",57400,62011773,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763367367DE6DBB4C09BA968E04D9D8/1763367367DE6DBB4C09BA968E04D9D8_img_330?hash=d87ce82eb89a1f80b21974e48e31af68,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62009218,"여성 크롭 기모 후드집업 루즈핏 겨울 데일리 스트릿 캐주얼 후드
도매꾹판매가 12,000원 (2개 이상 구매) 바로가기","12,500원",12500,62009218,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/176336546141747168140CACD804AEB7/176336546141747168140CACD804AEB7_img_330?hash=e8bb00df2728fa18276ad3d421220ea8,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62008473,"뉴비기닝 25110173 진주 기모 후드집업
도매꾹판매가 24,130원 (2개 이상 구매) 바로가기","25,400원",25400,62008473,,domeggook
