fast_delivery,grade,image,link,name,price,price_value,product_id,seller,source
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633805251C57B9CA111B28F47721C7/17633805251C57B9CA111B28F47721C7_img_330?hash=8540f8a6c43dbdd1b78620bacc9f1cca,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012853,"겨울후드집업 여자 남자 단체티 후드티 겨울 기모후드티 후드집업 기모 루즈핏
도매꾹판매가 31,700원 (1개 이상 구매) 바로가기","31,700원",31700,62012853,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763380497DB0D83A6402EEB204EEE04/1763380497DB0D83A6402EEB204EEE04_img_330?hash=c951d45051edcbced458e55b99dd1586,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012848,"커플후드티 단체티셔츠 피그먼트 무지 커플 후드티 긴팔 단체 오버핏 티셔츠
도매꾹판매가 37,900원 (1개 이상 구매) 바로가기","37,900원",37900,62012848,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763380455ACDDC84055AAD6659BC76B/1763380455ACDDC84055AAD6659BC76B_img_330?hash=1168d7cf4a25b3ed9ffe84b1307e7751,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012842,"후드티 긴팔 가을 긴팔티셔츠 무지 단체 여자 티셔츠 후드집업 남자 봄
도매꾹판매가 21,900원 (1개 이상 구매) 바로가기","21,900원",21900,62012842,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633804100F113FD04EAE3D7760A030/17633804100F113FD04EAE3D7760A030_img_330?hash=0cd634b345a326404d7b010262fe8493,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012836,"가을후드집업 가을 단체복 후드집업 루즈핏 스후드 봄 봄후드티 후드티
도매꾹판매가 30,200원 (1개 이상 구매) 바로가기","30,200원",30200,62012836,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763379102E8E564F928F2DD3C395199/1763379102E8E564F928F2DD3C395199_img_330?hash=29c7f244c9fa37a54fa0b880d1cb6a14,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62012606,"하이넥넥워머 넥워머 오버핏 후드티셔츠 남녀공용 턱보온후드티 하이넥 턱보온
도매꾹판매가 59,500원 (1개 이상 구매) 바로가기","59,500원",59500,62012606,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763376888C9829E178729C0E27D11E3/1763376888C9829E178729C0E27D11E3_img_330?hash=59c350ccc7307731d79b0c5821b8d44e,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62011858,"4컬러 겨울 뽀글이 후리스 여성 곰돌이 털후드티셔츠
도매꾹판매가 45,200원 (1개 이상 구매) 바로가기","45,200원",45200,62011858,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763376091E26FFE6BF174CDFED985A3/1763376091E26FFE6BF174CDFED985A3_img_330?hash=ecae00fe0c119067dcfff046eeaae73f,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62011674,"티셔츠 스타일 골지 여성 모두팜 여성티셔츠 포인트 버튼 루즈핏티셔츠 루즈핏 후드
도매꾹판매가 16,500원 (1개 이상 구매) 바로가기","16,500원",16500,62011674,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/17633753733E25F4EC5A88D96CA44B7C/17633753733E25F4EC5A88D96CA44B7C_img_330?hash=b4f9ee35b15e6bc8397b94ff2cb6e4ba,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62011562,"귀여운 레터링 여유핏 캐주얼룩 드롭숄더 후드티셔츠
도매꾹판매가 40,800원 (1개 이상 구매) 바로가기","40,800원",40800,62011562,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763359942D4B5211EE416EB5E904393/1763359942D4B5211EE416EB5E904393_img_330?hash=e49421c6aa7c3f411876464182c50e73,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62006718,"여성 캐주얼 후드티 루즈핏 기모 겨울 크롭 후드 집업
도매꾹판매가 17,600원 (1개 이상 구매) 바로가기","17,600원",17600,62006718,,domeggook
True,,https://cdn1.domeggook.com/upload/item/2025/11/17/1763359653F5F86E934C189E3D78B4C0/1763359653F5F86E934C189E3D78B4C0_img_330?hash=40b25e5bd505e131333299e7ab696188,https://domemedb.domeggook.com/index/item/itemView.php?itemNo=62006633,"세트 여자 팬츠 후드티 와이드 골덴 남자 겨울
도매꾹판매가 42,900원 (1개 이상 구매) 바로가기","42,900원",42900,62006633,,domeggook
